1	1	5	881250949
1	2	5	881250949
1	3	5	881250949
1	4	5	881250949
1	5	4	881250949
1	6	4	881250949
1	8	4	881250949
1	11	4	881250949
1	14	5	881250949
1	15	2	881250949
1	16	1	881250949
2	1	5	881250949
2	9	5	881250949
2	10	5	881250949
2	15	4	881250949
2	18	4	881250949
2	19	5	881250949
2	20	5	881250949
2	3	4	881250949
2	12	2	881250949
2	16	1	881250949
3	6	5	881250949
3	7	5	881250949
3	8	5	881250949
3	12	5	881250949
3	18	5	881250949
3	4	4	881250949
3	11	4	881250949
3	1	3	881250949
3	14	2	881250949
3	16	2	881250949
4	3	5	881250949
4	13	5	881250949
4	14	5	881250949
4	17	5	881250949
4	19	5	881250949
4	5	4	881250949
4	2	4	881250949
4	20	4	881250949
4	15	2	881250949
4	8	3	881250949
5	11	5	881250949
5	12	5	881250949
5	4	5	881250949
5	7	4	881250949
5	6	4	881250949
5	16	4	881250949
5	2	4	881250949
5	1	2	881250949
5	15	2	881250949
5	20	3	881250949
6	15	5	881250949
6	18	5	881250949
6	8	4	881250949
6	1	4	881250949
6	9	4	881250949
6	10	4	881250949
6	20	4	881250949
6	3	3	881250949
6	16	2	881250949
6	14	3	881250949
7	16	5	881250949
7	2	4	881250949
7	14	4	881250949
7	11	4	881250949
7	4	4	881250949
7	12	4	881250949
7	3	3	881250949
7	13	3	881250949
7	15	1	881250949
7	8	2	881250949
8	9	5	881250949
8	10	5	881250949
8	20	5	881250949
8	1	4	881250949
8	19	4	881250949
8	15	4	881250949
8	18	3	881250949
8	6	2	881250949
8	12	2	881250949
8	16	1	881250949
9	5	5	881250949
9	17	5	881250949
9	3	5	881250949
9	13	4	881250949
9	14	4	881250949
9	2	4	881250949
9	7	3	881250949
9	11	3	881250949
9	15	2	881250949
9	16	1	881250949
10	6	5	881250949
10	8	5	881250949
10	18	5	881250949
10	15	5	881250949
10	7	4	881250949
10	1	4	881250949
10	5	4	881250949
10	3	3	881250949
10	14	2	881250949
10	16	1	881250949
